Acceleration,Cylinders,Displacement,Horsepower,Make,Model,Model Year,MPG,Origin,Weight
12,8,307,130,chevrolet    ,chevrolet chevelle malibu        ,70,18,USA    ,3504
11.5,8,350,165,buick        ,buick skylark 320                ,70,15,USA    ,3693
11,8,318,150,plymouth     ,plymouth satellite               ,70,18,USA    ,3436
12,8,304,150,amc          ,amc rebel sst                    ,70,16,USA    ,3433
10.5,8,302,140,ford         ,ford torino                      ,70,17,USA    ,3449
10,8,429,198,ford         ,ford galaxie 500                 ,70,15,USA    ,4341
9,8,454,220,chevrolet    ,chevrolet impala                 ,70,14,USA    ,4354
8.5,8,440,215,plymouth     ,plymouth fury iii                ,70,14,USA    ,4312
10,8,455,225,pontiac      ,pontiac catalina                 ,70,14,USA    ,4425
8.5,8,390,190,amc          ,amc ambassador dpl               ,70,15,USA    ,3850
17.5,4,133,115,citroen      ,citroen ds-21 pallas             ,70,NaN,France ,3090
11.5,8,350,165,chevrolet    ,chevrolet chevelle concours (sw) ,70,NaN,USA    ,4142
11,8,351,153,ford         ,ford torino (sw)                 ,70,NaN,USA    ,4034
10.5,8,383,175,plymouth     ,plymouth satellite (sw)          ,70,NaN,USA    ,4166
11,8,360,175,amc          ,amc rebel sst (sw)               ,70,NaN,USA    ,3850
10,8,383,170,dodge        ,dodge challenger se              ,70,15,USA    ,3563
8,8,340,160,plymouth     ,    'plymouth 'cuda 340               ',70,14,USA    ,3609
8,8,302,140,ford         ,ford mustang boss 302            ,70,NaN,USA    ,3353
9.5,8,400,150,chevrolet    ,chevrolet monte carlo            ,70,15,USA    ,3761
10,8,455,225,buick        ,buick estate wagon (sw)          ,70,14,USA    ,3086
15,4,113,95,toyota       ,toyota corona mark ii            ,70,24,Japan  ,2372
15.5,6,198,95,plymouth     ,plymouth duster                  ,70,22,USA    ,2833
15.5,6,199,97,amc          ,amc hornet                       ,70,18,USA    ,2774
16,6,200,85,ford         ,ford maverick                    ,70,21,USA    ,2587
14.5,4,97,88,datsun       ,datsun pl510                     ,70,27,Japan  ,2130
20.5,4,97,46,volkswagen   ,volkswagen 1131 deluxe sedan     ,70,26,Germany,1835
17.5,4,110,87,peugeot      ,peugeot 504                      ,70,25,France ,2672
14.5,4,107,90,audi         ,audi 100 ls                      ,70,24,Germany,2430
17.5,4,104,95,saab         ,saab 99e                         ,70,25,Sweden ,2375
12.5,4,121,113,bmw          ,bmw 2002                         ,70,26,Germany,2234
15,6,199,90,amc          ,amc gremlin                      ,70,21,USA    ,2648
