street,sq__ft,sale_date,price,latitude,longitude,city,state,zip,beds,baths,type,Empty Lot,Street Types
3526 HIGH ST,836,Wed May 21 00:00:00 EDT 2008,59222,38.631913,-121.43487900000001,SACRAMENTO,CA,95838,2,1,Residential,False,ST
51 OMAHA CT,1167,Wed May 21 00:00:00 EDT 2008,68212,38.478902000000005,-121.431028,SACRAMENTO,CA,95823,3,1,Residential,False,CT
2796 BRANCH ST,796,Wed May 21 00:00:00 EDT 2008,68880,38.618305,-121.44383899999998,SACRAMENTO,CA,95815,2,1,Residential,False,ST
2805 JANETTE WAY,852,Wed May 21 00:00:00 EDT 2008,69307,38.616834999999995,-121.439146,SACRAMENTO,CA,95815,2,1,Residential,False,WAY
6001 MCMAHON DR,797,Wed May 21 00:00:00 EDT 2008,81900,38.51947,-121.435768,SACRAMENTO,CA,95824,2,1,Residential,False,DR
5828 PEPPERMILL CT,1122,Wed May 21 00:00:00 EDT 2008,89921,38.662595,-121.32781299999999,SACRAMENTO,CA,95841,3,1,Condo,False,CT
6048 OGDEN NASH WAY,1104,Wed May 21 00:00:00 EDT 2008,90895,38.681659,-121.35170500000001,SACRAMENTO,CA,95842,3,2,Residential,False,WAY
2561 19TH AVE,1177,Wed May 21 00:00:00 EDT 2008,91002,38.535092,-121.48136699999999,SACRAMENTO,CA,95820,3,1,Residential,False,AVE
11150 TRINITY RIVER DR Unit 114,941,Wed May 21 00:00:00 EDT 2008,94905,38.621188000000004,-121.270555,RANCHO CORDOVA,CA,95670,2,2,Condo,False,DR
7325 10TH ST,1146,Wed May 21 00:00:00 EDT 2008,98937,38.700909,-121.44297900000001,RIO LINDA,CA,95673,3,2,Residential,False,ST
645 MORRISON AVE,909,Wed May 21 00:00:00 EDT 2008,100309,38.637663,-121.45152,SACRAMENTO,CA,95838,3,2,Residential,False,AVE
4085 FAWN CIR,1289,Wed May 21 00:00:00 EDT 2008,106250,38.470746000000005,-121.458918,SACRAMENTO,CA,95823,3,2,Residential,False,CIR
2930 LA ROSA RD,871,Wed May 21 00:00:00 EDT 2008,106852,38.618697999999995,-121.435833,SACRAMENTO,CA,95815,1,1,Residential,False,RD
2113 KIRK WAY,1020,Wed May 21 00:00:00 EDT 2008,107502,38.482215000000004,-121.492603,SACRAMENTO,CA,95822,3,1,Residential,False,WAY
4533 LOCH HAVEN WAY,1022,Wed May 21 00:00:00 EDT 2008,108750,38.672914,-121.35933999999999,SACRAMENTO,CA,95842,2,2,Residential,False,WAY
7340 HAMDEN PL,1134,Wed May 21 00:00:00 EDT 2008,110700,38.700051,-121.35127800000001,SACRAMENTO,CA,95842,2,2,Condo,False,PL
6715 6TH ST,844,Wed May 21 00:00:00 EDT 2008,113263,38.689591,-121.45223899999999,RIO LINDA,CA,95673,2,1,Residential,False,ST
6236 LONGFORD DR Unit 1,795,Wed May 21 00:00:00 EDT 2008,116250,38.679776000000004,-121.314089,CITRUS HEIGHTS,CA,95621,2,1,Condo,False,DR
250 PERALTA AVE,588,Wed May 21 00:00:00 EDT 2008,120000,38.612099,-121.469095,SACRAMENTO,CA,95833,2,1,Residential,False,AVE
113 LEEWILL AVE,1356,Wed May 21 00:00:00 EDT 2008,121630,38.689999,-121.46321999999999,RIO LINDA,CA,95673,3,2,Residential,False,AVE
6118 STONEHAND AVE,1118,Wed May 21 00:00:00 EDT 2008,122000,38.707851,-121.32070700000001,CITRUS HEIGHTS,CA,95621,3,2,Residential,False,AVE
4882 BANDALIN WAY,1329,Wed May 21 00:00:00 EDT 2008,122682,38.468173,-121.444071,SACRAMENTO,CA,95823,4,2,Residential,False,WAY
7511 OAKVALE CT,1240,Wed May 21 00:00:00 EDT 2008,123000,38.702791999999995,-121.38221000000001,NORTH HIGHLANDS,CA,95660,4,2,Residential,False,CT
9 PASTURE CT,1601,Wed May 21 00:00:00 EDT 2008,124100,38.628631,-121.488097,SACRAMENTO,CA,95834,3,2,Residential,False,CT
3729 BAINBRIDGE DR,901,Wed May 21 00:00:00 EDT 2008,125000,38.701499,-121.37621999999999,NORTH HIGHLANDS,CA,95660,3,2,Residential,False,DR
3828 BLACKFOOT WAY,1088,Wed May 21 00:00:00 EDT 2008,126640,38.709740000000004,-121.37377,ANTELOPE,CA,95843,3,2,Residential,False,WAY
4108 NORTON WAY,963,Wed May 21 00:00:00 EDT 2008,127281,38.537526,-121.478315,SACRAMENTO,CA,95820,3,1,Residential,False,WAY
1469 JANRICK AVE,1119,Wed May 21 00:00:00 EDT 2008,129000,38.476471999999994,-121.50171100000001,SACRAMENTO,CA,95832,3,2,Residential,False,AVE
9861 CULP WAY,1380,Wed May 21 00:00:00 EDT 2008,131200,38.558423,-121.32794799999999,SACRAMENTO,CA,95827,4,2,Residential,False,WAY
7825 CREEK VALLEY CIR,1248,Wed May 21 00:00:00 EDT 2008,132000,38.472122,-121.404199,SACRAMENTO,CA,95828,3,2,Residential,False,CIR
5201 LAGUNA OAKS DR Unit 140,1039,Wed May 21 00:00:00 EDT 2008,133000,38.423251,-121.44448899999999,ELK GROVE,CA,95758,2,2,Condo,False,DR
6768 MEDORA DR,1152,Wed May 21 00:00:00 EDT 2008,134555,38.691161,-121.37191999999999,NORTH HIGHLANDS,CA,95660,3,2,Residential,False,DR
3100 EXPLORER DR,1380,Wed May 21 00:00:00 EDT 2008,136500,38.566663,-121.33264399999999,SACRAMENTO,CA,95827,3,2,Residential,False,DR
7944 DOMINION WAY,1116,Wed May 21 00:00:00 EDT 2008,138750,38.713182,-121.411227,ELVERTA,CA,95626,3,2,Residential,False,WAY
5201 LAGUNA OAKS DR Unit 162,1039,Wed May 21 00:00:00 EDT 2008,141000,38.423251,-121.44448899999999,ELK GROVE,CA,95758,2,2,Condo,False,DR
3920 SHINING STAR DR,1418,Wed May 21 00:00:00 EDT 2008,146250,38.48742,-121.46245900000001,SACRAMENTO,CA,95823,3,2,Residential,False,DR
5031 CORVAIR ST,1082,Wed May 21 00:00:00 EDT 2008,147308,38.658246000000005,-121.375469,NORTH HIGHLANDS,CA,95660,3,2,Residential,False,ST
7661 NIXOS WAY,1472,Wed May 21 00:00:00 EDT 2008,148750,38.479553,-121.46331699999999,SACRAMENTO,CA,95823,4,2,Residential,False,WAY
7044 CARTHY WAY,1146,Wed May 21 00:00:00 EDT 2008,149593,38.49857,-121.420925,SACRAMENTO,CA,95828,4,2,Residential,False,WAY
2442 LARKSPUR LN,760,Wed May 21 00:00:00 EDT 2008,150000,38.58514,-121.40373600000001,SACRAMENTO,CA,95825,1,1,Condo,False,LN
4800 WESTLAKE PKWY Unit 2109,1304,Wed May 21 00:00:00 EDT 2008,152000,38.658812,-121.542345,SACRAMENTO,CA,95835,2,2,Condo,False,PKWY
2178 63RD AVE,1207,Wed May 21 00:00:00 EDT 2008,154000,38.493955,-121.48966000000001,SACRAMENTO,CA,95822,3,2,Residential,False,AVE
8718 ELK WAY,1056,Wed May 21 00:00:00 EDT 2008,156896,38.41653,-121.379653,ELK GROVE,CA,95624,3,2,Residential,False,WAY
5708 RIDGEPOINT DR,1043,Wed May 21 00:00:00 EDT 2008,161250,38.72027,-121.33155500000001,ANTELOPE,CA,95843,2,2,Residential,False,DR
7315 KOALA CT,1587,Wed May 21 00:00:00 EDT 2008,161500,38.699251000000004,-121.37141399999999,NORTH HIGHLANDS,CA,95660,4,2,Residential,False,CT
2622 ERIN DR,1120,Wed May 21 00:00:00 EDT 2008,164000,38.613765,-121.488694,SACRAMENTO,CA,95833,4,1,Residential,False,DR
8421 SUNBLAZE WAY,1580,Wed May 21 00:00:00 EDT 2008,165000,38.450542999999996,-121.432538,SACRAMENTO,CA,95823,4,2,Residential,False,WAY
7420 ALIX PKWY,1955,Wed May 21 00:00:00 EDT 2008,166357,38.489405,-121.45281100000001,SACRAMENTO,CA,95823,4,1,Residential,False,PKWY
3820 NATOMA WAY,1656,Wed May 21 00:00:00 EDT 2008,166357,38.636748,-121.42215900000001,SACRAMENTO,CA,95838,4,2,Residential,False,WAY
4431 GREEN TREE DR,1477,Wed May 21 00:00:00 EDT 2008,168000,38.499953999999995,-121.45446899999999,SACRAMENTO,CA,95823,3,2,Residential,False,DR
9417 SARA ST,1188,Wed May 21 00:00:00 EDT 2008,170000,38.415518,-121.370527,ELK GROVE,CA,95624,3,2,Residential,False,ST
8299 HALBRITE WAY,1590,Wed May 21 00:00:00 EDT 2008,173000,38.473814000000004,-121.4,SACRAMENTO,CA,95828,4,2,Residential,False,WAY
